Region,Year,"Number_thousands","Median_income_Current_dollars","Median_income_2023_dollars","Mean_income_Current_dollars","Mean_income_2023_dollars"
South,1977,"24,320","12,410","53,430","15,070","64,890"
South,1976 (17),"23,670","11,460","52,550","13,750","63,030"
South,1975 (16),"23,410","10,540","51,070","12,660","61,360"
West,2023,"29,670","88,290","88,290","125,700","125,700"
West,2022,"29,440","82,890","86,190","117,500","122,200"
West,2021,"29,900","79,430","88,950","112,400","125,900"
West,2020 (41),"29,200","75,240","88,020","103,700","121,400"
West,2019,"29,180","75,770","89,560","106,000","125,300"
West,2018,"29,100","69,520","83,390","97,400","116,800"
West,2017 (40),"28,870","66,960","81,940","94,650","115,800"
West,2017,"28,850","67,520","82,620","92,730","113,500"
West,2016,"28,470","64,280","80,040","89,560","111,500"
West,2015,"28,200","61,440","77,190","85,020","106,800"
West,2014,"27,910","57,690","72,420","79,610","99,940"
West,2013 (39),"27,440","59,530","75,790","81,730","104,100"
West,2013 (38),"27,190","56,180","71,530","79,070","100,700"
West,2012,"27,300","55,160","71,080","76,850","99,030"
West,2011,"26,840","52,380","68,800","74,110","97,340"
West,2010 (37),"26,520","52,960","71,720","72,160","97,730"
West,2009 (36),"26,060","53,830","73,910","73,720","101,200"
West,2008,"26,170","55,090","75,320","75,070","102,600"
West,2007,"26,110","54,140","76,740","72,900","103,300"
West,2006,"25,660","52,250","75,960","71,650","104,200"
West,2005,"25,170","50,000","74,810","67,950","101,700"
West,2004 (35),"24,990","47,650","73,350","64,300","98,990"
West,2003,"24,600","46,820","73,880","62,900","99,260"
West,2002,"24,310","45,140","72,720","60,680","97,740"
West,2001,"23,260","45,090","73,530","61,040","99,550"
West,2000 (30),"23,110","44,920","74,900","60,450","100,800"
West,1999 (29),"22,870","42,570","73,430","57,670","99,500"
West,1998,"22,550","40,980","72,170","54,270","95,570"
West,1997,"21,910","39,160","69,900","51,960","92,740"
West,1996,"21,630","37,130","67,680","48,870","89,100"
West,1995 (25),"21,080","35,980","67,330","47,690","89,240"
West,1994 (24),"20,950","34,450","65,990","45,600","87,340"
West,1993 (23),"20,350","33,740","66,040","45,280","88,640"
West,1992 (22),"20,340","33,320","66,840","42,260","84,770"
West,1991,"19,960","32,250","66,340","41,090","84,520"
West,1990,"19,510","31,760","67,700","40,440","86,210"
West,1989,"19,200","31,090","69,480","39,020","87,220"
